concept_id	concept_level	exercise_id	exercise_level	exercise_type_id
3008	B	37722	B1	40
3008	B	37726	B2	67
3009	B	37736	B2	57
3010	B	37748	B1	40
3010	B	37751	B2	66
3011	B	37755	B1	45
3013	B	37771	B1	37
3014	B	37784	B1	45
3015	B	37795	B1	44
3015	B	37797	B2	62
3016	B	37804	B1	35
3016	B	37809	B2	66
3017	B	37819	B2	58
3018	B	37826	B1	41
3019	B	37832	B1	49
3019	B	37838	B2	63
3020	B	37842	B1	34
3021	B	37855	B2	64
3022	B	37858	B1	31
3022	B	37866	B2	65
3024	B	37884	B1	31
3025	B	37887	B2	67
3026	B	37890	B2	53
3027	B	37904	B1	39
3027	B	37913	B2	65
3030	B	37944	B1	48
3030	B	37948	B2	56
3031	B	37955	B1	35
3031	B	37965	B2	65
3032	B	37968	B1	49
3032	B	37976	B2	57
3033	B	37988	B1	46
3033	B	37990	B2	65
3034	B	37994	B2	66
3035	B	37997	B2	63
3037	B	38014	B1	49
3037	B	38020	B2	57
3038	B	38026	B1	31
3038	B	38031	B2	62
3039	B	38042	B1	34
3039	B	38043	B2	56
3040	B	38053	B1	35
3040	B	38058	B2	59
3041	B	38073	B1	45
3042	B	38078	B2	54
3043	B	38081	B1	36
3043	B	38090	B2	65
3045	B	38107	B1	36
3045	B	38112	B2	51
3049	B	38160	B1	37
3050	B	38172	B2	55
3051	B	38176	B1	47
3051	B	38185	B2	56
3052	B	38188	B2	52
3054	B	38213	B1	44
3056	B	38230	B2	53
3057	B	38233	B1	36
3057	B	38243	B2	66
3058	B	38246	B1	39
3059	B	38257	B1	47
3060	B	38264	B1	33
3060	B	38268	B2	63
3061	B	38275	B2	56
3062	B	38283	B1	44
3062	B	38287	B2	65
3065	B	38318	B1	49
3065	B	38324	B2	60
3069	B	38369	B1	36
3069	B	38379	B2	66
3071	B	38395	B1	48
3072	B	38398	B1	41
3073	B	38401	B1	33
3073	B	38411	B2	62
3074	B	38414	B1	33
3075	B	38417	B2	57
3076	B	38420	B1	49
3077	B	38423	B1	43
3078	B	38429	B2	56
3079	B	38440	B1	32
3079	B	38444	B2	61
3080	B	38452	B1	47
3080	B	38456	B2	51
3081	B	38473	B1	47
3081	B	38474	B2	65
3082	B	38478	B1	36
3082	B	38484	B2	53
3083	B	38493	B1	49
3083	B	38497	B2	53
3084	B	38510	B1	46
3084	B	38513	B2	65
3085	B	38524	B1	43
3086	B	38530	B2	65
3087	B	38539	B1	37
3087	B	38542	B2	65
3088	B	38546	B1	40
3088	B	38556	B2	50
3091	B	38585	B2	51
3092	B	38606	B1	43
3092	B	38608	B2	62
3093	B	38619	B1	49
3093	B	38620	B2	65
3094	B	38631	B1	41
3094	B	38633	B2	62
3095	B	38637	B1	44
3096	B	38643	B2	59
3097	B	38663	B2	66
3098	B	38666	B1	47
3099	B	38669	B2	51
3100	B	38672	B1	35
3101	B	38675	B1	32
3102	B	38678	B1	36
3102	B	38686	B2	51
3103	B	38691	B2	59
3104	B	38701	B1	38
3104	B	38704	B2	66
3105	B	38714	B1	42
3105	B	38717	B2	67
3108	B	38747	B1	32
3108	B	38755	B2	65
3109	B	38761	B2	53
3112	B	38800	B1	38
3112	B	38808	B2	60
3114	B	38824	B2	64
3117	B	38858	B1	41
3118	B	38872	B1	45
3118	B	38876	B2	66
3121	B	38905	B2	61
3122	B	38910	B1	46
3122	B	38915	B2	51
3123	B	38924	B1	47
3123	B	38928	B2	53
3124	B	38934	B2	58
3125	B	38944	B1	40
3125	B	38947	B2	62
3126	B	38954	B1	47
3126	B	38957	B2	51
3127	B	38968	B1	40
3127	B	38973	B2	62
3129	B	38989	B2	60
3130	B	38992	B1	31
3130	B	39000	B2	65
3131	B	39010	B1	45
3131	B	39015	B2	66
3133	B	39032	B1	32
3133	B	39040	B2	65
3134	B	39048	B1	35
3134	B	39053	B2	65
3135	B	39058	B1	32
3135	B	39065	B2	65
3136	B	39070	B1	31
3137	B	39078	B1	36
3137	B	39083	B2	66
3138	B	39094	B2	60
3139	B	39104	B1	39
3139	B	39108	B2	63
3140	B	39112	B1	42
3141	B	39121	B1	40
3141	B	39125	B2	62
3142	B	39128	B1	33
3143	B	39131	B1	31
3143	B	39135	B2	56
3144	B	39148	B1	41
3144	B	39153	B2	65
3145	B	39158	B1	48
3145	B	39164	B2	59
3146	B	39171	B1	32
3146	B	39179	B2	65
3147	B	39185	B1	33
3147	B	39192	B2	63
3148	B	39197	B1	32
3149	B	39209	B1	47
3149	B	39219	B2	57
3150	B	39222	B1	31
3150	B	39231	B2	63
3151	B	39235	B1	45
3152	B	39238	B1	32
3153	B	39243	B1	33
3153	B	39251	B2	66
3156	B	39285	B1	44
3156	B	39290	B2	66
3157	B	39303	B1	45
3158	B	39306	B1	36
3158	B	39315	B2	59
3162	B	39358	B2	59
3164	B	39378	B1	49
3164	B	39379	B2	51
3165	B	39390	B1	45
3165	B	39397	B2	66
3168	B	39431	B1	39
3168	B	39435	B2	66
3169	B	39443	B1	39
3172	B	39480	B1	48
3172	B	39488	B2	61
3173	B	39493	B1	33
3173	B	39500	B2	63
3176	B	39531	B1	32
3176	B	39538	B2	65
3177	B	39543	B1	31
3177	B	39547	B2	60
3178	B	39556	B1	42
3179	B	39563	B1	49
3179	B	39567	B2	54
3180	B	39572	B1	37
3180	B	39578	B2	56
3182	B	39600	B1	33
3182	B	39607	B2	63
3183	B	39611	B1	31
3183	B	39620	B2	65
3184	B	39625	B1	37
3184	B	39633	B2	65
3185	B	39640	B1	40
3185	B	39647	B2	62
3186	B	39650	B1	44
3187	B	39655	B1	39
3191	B	39712	B1	41
3191	B	39713	B2	62
3193	B	39732	B1	40
3196	B	39777	B1	41
3197	B	39783	B2	58
3199	B	39804	B1	48
3199	B	39809	B2	53
3201	B	39825	B1	48
3201	B	39827	B2	50
3202	B	39839	B1	41
3202	B	39848	B2	66
3204	B	39864	B2	65
3205	B	39867	B1	43
3206	B	39870	B2	53
3207	B	39873	B1	31
3207	B	39879	B2	63
3209	B	39899	B2	52
3210	B	39909	B1	38
3210	B	39911	B2	65
3211	B	39915	B1	31
3214	B	39944	B1	33
3215	B	39947	B1	41
3218	B	39977	B1	32
3220	B	40002	B1	38
3222	B	40019	B1	32
3222	B	40022	B2	60
3224	B	40044	B2	50
3225	B	40047	B1	33
3227	B	40074	B1	48
3227	B	40080	B2	54
3228	B	40086	B1	35
3229	B	40092	B1	34
3229	B	40099	B2	67
3230	B	40102	B1	38
3232	B	40118	B1	34
3233	B	40121	B2	57
3235	B	40151	B1	44
3235	B	40157	B2	66
3237	B	40179	B1	42
3238	B	40189	B1	34
3238	B	40196	B2	66
3239	B	40199	B2	56
3240	B	40202	B1	38
3240	B	40209	B2	59
3241	B	40215	B1	36
3242	B	40218	B1	40
3243	B	40221	B1	43
3245	B	40245	B1	47
3245	B	40247	B2	66
3246	B	40250	B1	40
3247	B	40253	B1	38
3247	B	40260	B2	59
3248	B	40273	B1	43
3248	B	40276	B2	67
3249	B	40279	B1	49
3249	B	40287	B2	57
3250	B	40301	B1	43
3251	B	40308	B1	47
3251	B	40311	B2	50
3252	B	40321	B1	49
3252	B	40325	B2	53
3253	B	40331	B1	31
3253	B	40339	B2	65
3254	B	40344	B2	57
3256	B	40368	B1	47
3256	B	40370	B2	66
3257	B	40373	B1	31
3257	B	40383	B2	66
3259	B	40405	B1	40
3259	B	40409	B2	67
3260	B	40412	B1	33
3260	B	40422	B2	62
3263	B	40451	B1	31
3263	B	40455	B2	61
3264	B	40474	B1	46
3265	B	40477	B1	34
3267	B	40493	B1	41
3268	B	40500	B1	40
3269	B	40512	B1	34
3269	B	40518	B2	66
